id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews,reviews_per_month,availability_2019
2818,Oostelijk Havengebied - Indische Buurt,52.36575451387618,4.941419235184398,Private room,59,296,3,248,2.1,44
3209,Westerpark,52.39022505041117,4.873924094742859,Entire home/apt,160,309,4,42,1.03,47
20168,Centrum-Oost,52.36508702680917,4.8935410078410095,Entire home/apt,80,224,1,233,2.18,198
25428,Centrum-West,52.37311440038617,4.883668196205626,Entire home/apt,125,208,14,1,0.09,141
27886,Centrum-West,52.386727316124684,4.892078070089338,Private room,150,318,2,171,2.03,199
28658,Bos en Lommer,52.37534217754822,4.857289350245441,Private room,65,64,3,434,4.16,295
28871,Centrum-West,52.367186808186005,4.8909177971296565,Private room,75,184,2,215,2.13,137
29051,Centrum-West,52.367725410445736,4.891511737154662,Private room,55,131,2,383,4.07,188
31080,Zuid,52.35132054,4.848382899,Entire home/apt,219,,3,32,0.36,336
41125,Centrum-West,52.37891477,4.8832050564993645,Entire home/apt,180,349,3,76,0.78,11
42970,Centrum-West,52.36781447589647,4.890012023439633,Private room,159,55,3,426,4.24,89
43980,Zuid,52.35745628,4.861242085387215,Entire home/apt,100,80,28,61,0.62,10
44129,Centrum-West,52.380711229831924,4.886104318098604,Entire home/apt,250,278,2,176,1.74,16
44391,Centrum-Oost,52.37016998640934,4.914377826765493,Entire home/apt,200,,3,31,0.31,0
45246,Westerpark,52.37767639657083,4.876178648987073,Entire home/apt,155,,3,79,0.79,253
46386,De Pijp - Rivierenbuurt,52.35247025928299,4.908254440320653,Entire home/apt,150,,3,3,0.03,0
47061,De Baarsjes - Oud-West,52.36798609885809,4.874469331907506,Entire home/apt,140,,2,167,1.67,0
48076,Centrum-West,52.38042002,4.894534735097551,Entire home/apt,350,92,5,159,1.82,276
49790,De Baarsjes - Oud-West,52.362663786120464,4.861031740012395,Entire home/apt,225,87,3,98,1.06,296
50515,Bos en Lommer,52.37727239832183,4.839252562940868,Entire home/apt,120,208,3,12,0.21,79
50518,Westerpark,52.38200613161477,4.878649621335048,Entire home/apt,125,,1,91,1.22,0
50523,Centrum-West,52.36840789766318,4.884133704990546,Private room,115,126,2,213,2.21,206
50570,Bos en Lommer,52.377737441667115,4.848911991360075,Entire home/apt,90,354,4,152,1.62,19
52490,Oostelijk Havengebied - Indische Buurt,52.370045892661075,4.9386912362462985,Private room,72,337,3,81,0.82,11
53067,De Pijp - Rivierenbuurt,52.35339266870349,4.900637642957301,Private room,87,295,1,333,3.4,2
53671,Westerpark,52.389053371113825,4.885588535129939,Private room,75,31,3,261,2.8,289
53692,De Pijp - Rivierenbuurt,52.353483155689176,4.900490171525591,Private room,60,,3,219,2.4,47
55256,Centrum-Oost,52.37125688886693,4.903513145133119,Private room,86,352,1,120,1.26,129
55703,Bos en Lommer,52.37560816034421,4.858187467526308,Entire home/apt,250,1,3,3,0.07,0
55709,Centrum-Oost,52.35895649627122,4.897259341005234,Entire home/apt,159,355,5,53,0.54,32
55807,De Baarsjes - Oud-West,52.36965708064435,4.8620254265502405,Private room,60,28,2,150,1.53,122
55868,Zuid,52.356132975812436,4.885149546738222,Entire home/apt,149,362,4,88,0.91,107
56879,Centrum-West,52.38453334724865,4.892545431659382,Entire home/apt,112,,28,1,0.01,277
57408,Oostelijk Havengebied - Indische Buurt,52.361929788889256,4.936400957199159,Entire home/apt,100,,4,420,4.29,5
57978,De Baarsjes - Oud-West,52.36448156797004,4.877220554469521,Entire home/apt,125,96,3,145,1.48,315
58211,Centrum-West,52.369164791657006,4.8844453447991505,Private room,225,77,3,82,1.05,212
