OrderID,ProductCategory,ProductID,Supplier,OriginCountry,DestinationCity,ShippingMode,OrderDate,ShipDate,DeliveryDate,PromisedDate,OrderStatus,UnitsOrdered,UnitCost,UnitPrice,ManufacturingCost,TransportationCost,DamagedUnits,ReturnStatus,SatisfactionScore
10000,Electronics,Model-A897,Supplier A,Mexico,New York,Sea,4/6/2025,4/9/2025,5/11/2025,5/11/2025,Delivered,403,25.22,54.2,10163.66,304.91,18,No,3
10001,Electronics,Model-C260,Supplier C,China,Los Angeles,Express,5/2/2024,5/5/2024,5/7/2024,5/11/2024,Delivered,385,32.74,73.89,12604.9,1260.49,0,No,5
10002,Apparel,SKU-8340,National Logistics,Vietnam,Chicago,Express,12/15/2024,12/16/2024,12/18/2024,12/18/2024,Delivered,462,64.17,129.04,29646.54,2964.65,0,No,5
10003,Electronics,Model-B583,Supplier A,China,Houston,Sea,8/9/2024,8/13/2024,9/4/2024,9/8/2024,Delivered,58,39.63,98.14,2298.54,68.96,0,No,5
10004,Home Goods,HG-753,Global Imports,Germany,Phoenix,Air,4/27/2025,4/28/2025,5/3/2025,5/5/2025,Delivered,391,30.25,56.67,11827.75,887.08,0,No,5
10005,Electronics,Model-E903,Supplier C,USA,New York,Sea,11/21/2024,11/23/2024,12/17/2024,12/20/2024,Delivered,382,145,244.37,55390,1661.7,0,No,5
10006,Electronics,Model-E903,Supplier A,Vietnam,Los Angeles,Sea,3/27/2025,3/31/2025,4/22/2025,4/24/2025,Delivered,53,93.02,231.57,4930.06,147.9,2,Yes,2
10007,Apparel,SKU-6533,Supplier B,Vietnam,Chicago,Land,1/29/2024,2/2/2024,2/11/2024,2/14/2024,Delivered,132,136,235.3,17952,807.84,0,No,5
10008,Apparel,SKU-2885,Supplier C,Vietnam,Houston,Land,12/6/2023,12/9/2023,,12/23/2023,Cancelled,98,138.18,243.36,13541.64,609.37,0,No,
10009,Apparel,SKU-2885,National Logistics,Germany,Phoenix,Sea,5/14/2024,5/19/2024,6/26/2024,6/28/2024,Delivered,458,94.09,194.8,43093.22,1292.8,0,No,5
10010,Apparel,SKU-7098,Supplier A,USA,New York,Air,7/30/2024,8/4/2024,8/11/2024,8/10/2024,Delayed,138,138.51,320.64,19114.38,1433.58,0,No,4
10011,Apparel,SKU-8340,Supplier A,Mexico,Los Angeles,Air,5/22/2024,5/25/2024,5/30/2024,6/1/2024,Delivered,291,24.27,45.76,7062.57,529.69,0,No,5
10012,Home Goods,HG-753,National Logistics,China,Chicago,Sea,9/25/2024,9/28/2024,11/1/2024,10/31/2024,Delayed,216,92.26,214.31,19928.16,597.84,0,Yes,3
10013,Home Goods,HG-792,Global Imports,Mexico,Houston,Sea,3/25/2025,3/27/2025,5/3/2025,5/4/2025,Delivered,364,110.78,205.73,40323.92,1209.72,4,No,3
10014,Electronics,Model-B583,Supplier B,Vietnam,Phoenix,Express,11/9/2023,11/14/2023,11/17/2023,11/20/2023,Delivered,465,144.52,232.79,67201.8,6720.18,0,No,5
10015,Apparel,SKU-7098,Supplier C,Mexico,New York,Sea,7/27/2024,7/31/2024,9/7/2024,9/8/2024,Delivered,332,54.47,116.19,18084.04,542.52,0,No,5
10016,Electronics,Model-E903,Supplier B,USA,Los Angeles,Sea,7/22/2025,7/26/2025,8/31/2025,9/3/2025,Delivered,235,51.73,93.74,12156.55,364.7,0,No,5
10017,Home Goods,HG-593,Supplier B,Mexico,Chicago,Sea,4/1/2024,4/2/2024,4/28/2024,4/29/2024,Delivered,306,101.17,232.25,30958.02,928.74,0,No,5
10018,Home Goods,HG-871,National Logistics,Mexico,Houston,Sea,3/8/2024,3/12/2024,4/5/2024,4/8/2024,Delivered,206,44.04,72.76,9072.24,272.17,0,No,5
10019,Electronics,Model-A897,Supplier A,Mexico,Phoenix,Sea,6/3/2024,6/7/2024,7/4/2024,7/5/2024,Delivered,190,123.03,273.37,23375.7,701.27,0,No,5
